timesteps,curriculum_stage,mean_reward,std_reward,mean_episode_length,std_episode_length,success_rate,collision_rate,safety_violation_rate,timeout_rate,mean_path_length,mean_final_goal_dist,mean_min_collision_clearance,mean_min_safety_clearance,success_mean_reward,success_mean_episode_length
1635000,4,645.4193517327309,48.16898877386053,332.0,18.324846520503247,1.0,0.0,0.0,0.0,28.90577730619261,0.6763107597827911,0.6249152064323426,0.3749151825904846,645.4193517327309,332.0
1640000,4,631.7968862880022,54.629555889480265,335.5,20.519502917955883,1.0,0.0,0.0,0.0,29.009167251626785,0.7238998770713806,0.6181763052940369,0.36817628145217896,631.7968862880022,335.5
1645000,4,591.4079874783754,71.17199702951163,298.2,21.75224126383302,1.0,0.0,0.0,0.0,28.335663734260017,0.6489195406436921,0.7104088306427002,0.46040881872177125,591.4079874783754,298.2
1650000,4,1543.539740423113,1479.494097766731,872.0,902.071061502363,1.0,0.0,0.0,0.0,37.72279548027582,0.6842594146728516,0.6709719061851501,0.4209718942642212,1543.539740423113,872.0
1655000,4,1930.041686931625,2531.5218547464024,1116.3,1601.9252822775475,0.8,0.0,0.0,0.2,43.945755836447645,0.6782860338687897,0.7033653497695923,0.45336533784866334,664.3072239104658,315.375
1660000,4,644.2853363542818,32.64786397254079,331.7,20.41592515660263,1.0,0.0,0.0,0.0,28.622531044046628,0.6646157801151276,0.5356879115104676,0.28568788766860964,644.2853363542818,331.7
1665000,4,615.193655838049,56.2862817016001,344.4,17.3735431043872,1.0,0.0,0.0,0.0,29.20434643849585,0.6711169958114624,0.6874178051948547,0.4374177694320679,615.193655838049,344.4
1670000,4,586.5762980264611,50.669247759824884,314.7,26.91858094328154,1.0,0.0,0.0,0.0,29.150868808857922,0.6577222049236298,0.5955482006072998,0.34554816484451295,586.5762980264611,314.7
1675000,4,640.9196504310705,51.620652820343196,336.8,22.19369279772972,1.0,0.0,0.0,0.0,28.877430395888222,0.6648096978664398,0.6812337040901184,0.4312336564064026,640.9196504310705,336.8
1680000,4,657.5021069828421,28.47160272906486,327.6,23.247365442131287,1.0,0.0,0.0,0.0,28.45915884630522,0.6742704153060913,0.6533955097198486,0.40339547395706177,657.5021069828421,327.6
1685000,4,855.8841098316013,410.9425543648182,476.3,270.5368921237915,1.0,0.0,0.0,0.0,31.63463423973881,0.7234820663928986,0.6466788649559021,0.39667882919311526,855.8841098316013,476.3
1690000,4,590.1220325575152,14.304686234619334,305.6,23.720033726788838,1.0,0.0,0.0,0.0,28.782463594235015,0.6648541152477264,0.603040897846222,0.35304086208343505,590.1220325575152,305.6
1695000,4,597.8716532990569,26.769387680721046,323.9,26.856842703489924,1.0,0.0,0.0,0.0,28.921494889268068,0.6865892887115479,0.5677545189857482,0.31775449514389037,597.8716532990569,323.9
1700000,4,540.4622229248286,57.9551243321449,274.7,10.909170454255447,1.0,0.0,0.0,0.0,27.99370202175487,0.6488945126533509,0.5352137684822083,0.28521376848220825,540.4622229248286,274.7
1705000,4,671.9282588364556,24.472966871791886,331.8,18.956792977716457,1.0,0.0,0.0,0.0,28.432240300439297,0.6778099954128265,0.7393144488334655,0.48931442499160765,671.9282588364556,331.8
1710000,4,683.1207739003003,10.009152955998541,336.8,22.247696509976038,1.0,0.0,0.0,0.0,28.759941845075808,0.6658220410346984,0.7198433041572571,0.46984325647354125,683.1207739003003,336.8
1715000,4,647.8810881267069,18.26335132874151,339.3,23.84554465723105,1.0,0.0,0.0,0.0,28.938175868873078,0.6934152781963349,0.6951183080673218,0.44511828422546384,647.8810881267069,339.3
1720000,4,639.8005294620991,44.244296282286214,337.6,19.053608582103287,1.0,0.0,0.0,0.0,29.19259083312354,0.6993437767028808,0.6334012389183045,0.38340120315551757,639.8005294620991,337.6
1725000,4,614.652932253186,60.116963559502366,311.6,22.397321268401722,1.0,0.0,0.0,0.0,28.325559633875674,0.6552113831043244,0.5009410977363586,0.2509410738945007,614.652932253186,311.6
1730000,4,651.5801454625143,29.282742632782433,324.7,24.80745855584566,1.0,0.0,0.0,0.0,28.416231008012254,0.6652336537837982,0.5323789238929748,0.28237888813018797,651.5801454625143,324.7
1735000,4,652.2858874112368,65.87152859852121,330.9,23.38567937862828,1.0,0.0,0.0,0.0,29.204705464906873,0.6789750635623932,0.7677531838417053,0.5177531599998474,652.2858874112368,330.9
1740000,4,582.6895368317607,63.62603818766454,296.2,24.526720123163635,1.0,0.0,0.0,0.0,28.065072307107037,0.6487628102302552,0.6105224251747131,0.36052240133285524,582.6895368317607,296.2
1745000,4,669.2233406806365,86.93120181206706,340.6,56.12699885082045,1.0,0.0,0.0,0.0,29.088018702346744,0.672834986448288,0.6422577142715454,0.39225770235061647,669.2233406806365,340.6
1750000,4,606.0635365305468,23.550311516352593,318.5,26.725456029785533,1.0,0.0,0.0,0.0,29.109034231179976,0.6808682680130005,0.594166612625122,0.34416656494140624,606.0635365305468,318.5
1755000,4,644.8442039996386,36.75469311823033,342.4,17.872884490199112,1.0,0.0,0.0,0.0,29.285962490041857,0.7334557831287384,0.7854542136192322,0.5354542016983033,644.8442039996386,342.4
1760000,4,596.6656676269544,37.155562888839086,325.4,45.67318688245873,1.0,0.0,0.0,0.0,29.347669657843653,0.7002657651901245,0.5625653624534607,0.31256532669067383,596.6656676269544,325.4
1765000,4,636.9752145182341,39.46967424967948,337.3,21.503720608304043,1.0,0.0,0.0,0.0,29.205510532602784,0.6610668003559113,0.5877847790718078,0.337784743309021,636.9752145182341,337.3
1770000,4,652.0291994482279,46.227013717470605,336.6,17.54536975956905,1.0,0.0,0.0,0.0,28.848204246204112,0.6863970100879669,0.7266555190086365,0.47665550708770754,652.0291994482279,336.6
1775000,4,654.8051504999399,33.426667700741994,332.0,19.50897229481861,1.0,0.0,0.0,0.0,28.922372016619192,0.6690664231777191,0.6807817339897155,0.4307816863059998,654.8051504999399,332.0
1780000,4,652.6856195736676,64.41909238959538,332.2,31.536645351083234,1.0,0.0,0.0,0.0,28.99760699055914,0.6679505944252014,0.5943044185638428,0.344304358959198,652.6856195736676,332.2
1785000,4,634.0559331677563,11.133080078513714,320.0,18.498648599289623,1.0,0.0,0.0,0.0,28.543860445303288,0.6492588877677917,0.5593444585800171,0.30934441089630127,634.0559331677563,320.0
1790000,4,632.1593262297101,55.89784892955638,341.0,18.439088914585774,1.0,0.0,0.0,0.0,29.320394891159957,0.7457280814647674,0.6961556434631347,0.44615561962127687,632.1593262297101,341.0
1795000,4,647.2324949733913,35.80291185825657,328.2,19.518196638009364,1.0,0.0,0.0,0.0,28.505654690125084,0.6765928328037262,0.7380800604820251,0.4880800485610962,647.2324949733913,328.2
1800000,4,649.7657645494677,42.71889167912776,333.1,25.212893526923878,1.0,0.0,0.0,0.0,28.887930429673,0.6564757406711579,0.5964674115180969,0.3464673638343811,649.7657645494677,333.1
1805000,4,602.9805803373456,15.690451189901621,316.0,28.135386970859315,1.0,0.0,0.0,0.0,28.546073455344594,0.6734967529773712,0.6180773377418518,0.3680773138999939,602.9805803373456,316.0
1810000,4,647.8836976991035,34.81119503229908,338.2,19.630588376307013,1.0,0.0,0.0,0.0,29.081205655448137,0.6805758953094483,0.6225395917892456,0.3725395560264587,647.8836976991035,338.2
1815000,4,649.4014347280842,25.937748460580238,328.0,23.765521244020714,1.0,0.0,0.0,0.0,28.28348141663446,0.6747028172016144,0.5643074750900269,0.31430745124816895,649.4014347280842,328.0
1820000,4,626.0191422145814,33.69970017759927,325.9,23.784238478454593,1.0,0.0,0.0,0.0,28.76330476293515,0.6777970612049102,0.5320948719978332,0.2820948600769043,626.0191422145814,325.9
1825000,4,656.7078925609588,43.298260405696794,337.2,21.97635092548351,1.0,0.0,0.0,0.0,29.027781891486665,0.6866896390914917,0.7638875365257263,0.5138875126838685,656.7078925609588,337.2
1830000,4,595.7288218517788,7.148727648934256,313.6,30.748008065564182,1.0,0.0,0.0,0.0,28.612878254168027,0.68598952293396,0.6059401392936706,0.3559400916099548,595.7288218517788,313.6
1835000,4,644.2945295052602,29.710814001257138,331.6,24.121359828998035,1.0,0.0,0.0,0.0,28.800397825292567,0.6762782096862793,0.559059077501297,0.3090590417385101,644.2945295052602,331.6
1840000,4,604.560057852976,13.193862999731081,317.6,24.079867109267855,1.0,0.0,0.0,0.0,29.13642956570475,0.6611866533756257,0.6346695780754089,0.3846695303916931,604.560057852976,317.6
1845000,4,645.2298672553152,35.30936189988633,330.8,25.67021620477708,1.0,0.0,0.0,0.0,28.753967157837906,0.7013936161994934,0.5866477131843567,0.3366476893424988,645.2298672553152,330.8
1850000,4,570.8192257921212,50.54604797686573,317.8,27.12489631316588,1.0,0.0,0.0,0.0,29.37710376990581,0.6582755208015442,0.5411031723022461,0.2911031484603882,570.8192257921212,317.8
1855000,4,602.8358060579282,15.680098915705234,326.2,33.919905660246165,1.0,0.0,0.0,0.0,28.86700351506297,0.6973422467708588,0.6385607481002807,0.38856073617935183,602.8358060579282,326.2
1860000,4,638.7169063235167,57.1029642963604,323.1,20.290145391297717,1.0,0.0,0.0,0.0,28.431078203408468,0.6644423723220825,0.585019564628601,0.3350195407867432,638.7169063235167,323.1
1865000,4,567.6754166042432,11.142460084929358,285.9,29.897993243694465,1.0,0.0,0.0,0.0,27.80299327094399,0.6548110246658325,0.5752270221710205,0.3252269983291626,567.6754166042432,285.9
1870000,4,607.5413134994917,10.341676936296208,335.1,19.284449693989195,1.0,0.0,0.0,0.0,29.070322575697354,0.6887602388858796,0.6563776016235352,0.4063775300979614,607.5413134994917,335.1
1875000,4,574.6552848890424,61.457912561688545,315.5,31.8190194694934,1.0,0.0,0.0,0.0,29.16673280906689,0.6640152156352996,0.6978537440299988,0.4478537321090698,574.6552848890424,315.5
1880000,4,633.381586073339,14.444449143954845,303.7,15.862219264655245,1.0,0.0,0.0,0.0,28.17209490010573,0.6494397163391114,0.7041036009788513,0.45410358905792236,633.381586073339,303.7
1885000,4,659.3789009712636,46.675824621820425,324.5,21.13409567499873,1.0,0.0,0.0,0.0,28.42128573890659,0.6702322721481323,0.6644559323787689,0.414455908536911,659.3789009712636,324.5
1890000,4,658.7762425054331,25.07571277312776,323.3,22.65413869472861,1.0,0.0,0.0,0.0,28.23451189974876,0.7020040452480316,0.5987847328186036,0.3487847089767456,658.7762425054331,323.3
1895000,4,643.220132958889,26.327658477336858,333.3,23.853930493736247,1.0,0.0,0.0,0.0,28.879262322396972,0.710855346918106,0.6367740511894227,0.38677401542663575,643.220132958889,333.3
1900000,4,624.4578955382109,33.04352234355432,323.3,22.645308564910305,1.0,0.0,0.0,0.0,29.01912233116018,0.7111485064029693,0.6573631882667541,0.40736318826675416,624.4578955382109,323.3
1905000,4,662.3431819736958,4.347898248441226,331.8,26.693819509392057,1.0,0.0,0.0,0.0,28.29690931500445,0.7233006060123444,0.6787415742874146,0.42874152660369874,662.3431819736958,331.8
1910000,4,635.9654900251887,82.56053943811092,311.8,27.541967976163214,1.0,0.0,0.0,0.0,27.87554307796963,0.6722986340522766,0.6543328881263732,0.40433287620544434,635.9654900251887,311.8
1915000,4,630.6282865369925,50.430674723101276,338.9,19.6033160460163,1.0,0.0,0.0,0.0,29.015637724392583,0.7199182212352753,0.5707447290420532,0.3207446813583374,630.6282865369925,338.9
1920000,4,626.2779110997915,33.91848068289627,319.5,20.57790076757102,1.0,0.0,0.0,0.0,28.927989717598393,0.6638709664344787,0.570451307296753,0.32045128345489504,626.2779110997915,319.5
1925000,4,596.8369985096157,94.50063210655985,316.1,30.34616944525289,1.0,0.0,0.0,0.0,28.629660116780723,0.6492072761058807,0.5800862073898315,0.33008618354797364,596.8369985096157,316.1
1930000,4,649.2427572242916,34.76034779922602,335.8,20.237588789181384,1.0,0.0,0.0,0.0,28.73919491792185,0.6764643788337708,0.6227227210998535,0.37272268533706665,649.2427572242916,335.8
1935000,4,667.2820635482669,24.437579105235656,332.8,21.146158043483926,1.0,0.0,0.0,0.0,28.50180859528773,0.6800931334495545,0.6492682933807373,0.39926825761795043,667.2820635482669,332.8
1940000,4,620.7944306627381,35.46897351884269,320.3,18.232114523554312,1.0,0.0,0.0,0.0,28.57402809521591,0.6789541721343995,0.57139812707901,0.32139809131622316,620.7944306627381,320.3
1945000,4,619.0117675729095,77.68950262053316,319.3,28.231365535517405,1.0,0.0,0.0,0.0,28.665108807658545,0.6519245207309723,0.5980816006660461,0.34808156490325926,619.0117675729095,319.3
1950000,4,649.9286272749305,43.01797295740535,329.9,25.339494864736352,1.0,0.0,0.0,0.0,29.00430673559604,0.6880172312259674,0.61646066904068,0.3664606332778931,649.9286272749305,329.9
1955000,4,649.2486070722341,37.99371389373283,339.3,19.758795509848266,1.0,0.0,0.0,0.0,29.05807313791156,0.7051019549369812,0.6458187341690064,0.3958186864852905,649.2486070722341,339.3
1960000,4,659.1256300523877,10.578427220789175,323.7,20.581788066152075,1.0,0.0,0.0,0.0,28.267562834535784,0.6644834339618683,0.6664060950279236,0.4164060831069946,659.1256300523877,323.7
1965000,4,587.619125322625,19.964581137737607,310.0,29.46183972531247,1.0,0.0,0.0,0.0,28.67456899145691,0.6661558449268341,0.5701535224914551,0.3201534867286682,587.619125322625,310.0
1970000,4,600.8654360413551,31.54066855566142,322.6,28.050668441233267,1.0,0.0,0.0,0.0,28.83264626525488,0.7009983658790588,0.6660413980484009,0.41604137420654297,600.8654360413551,322.6
1975000,4,548.2435775801539,15.282093064216404,291.9,22.949727667229517,1.0,0.0,0.0,0.0,28.640514269639972,0.6489156186580658,0.5403401851654053,0.29034013748168946,548.2435775801539,291.9
1980000,4,655.3318566381931,23.85884034593211,332.7,21.443180734210117,1.0,0.0,0.0,0.0,28.592954830079908,0.6898381531238555,0.6466033220291137,0.39660331010818484,655.3318566381931,332.7
1985000,4,642.7189403022173,26.55793724470717,318.6,24.11721376942204,1.0,0.0,0.0,0.0,28.18694593656401,0.6714869499206543,0.6360196232795715,0.38601959943771363,642.7189403022173,318.6
1990000,4,628.9501751661301,42.901848060060956,342.0,19.146801299433804,1.0,0.0,0.0,0.0,29.581806193199007,0.7103308200836181,0.6143411159515381,0.3643410801887512,628.9501751661301,342.0
1995000,4,669.8656715074554,4.112402263223884,332.5,25.243811122728676,1.0,0.0,0.0,0.0,28.420064249110872,0.6661488294601441,0.5618402004241944,0.3118401527404785,669.8656715074554,332.5
2000000,4,654.1155657760798,20.70522264137052,311.0,14.737706741552431,1.0,0.0,0.0,0.0,28.05182132695336,0.6575612127780914,0.561026930809021,0.311026930809021,654.1155657760798,311.0
2005000,4,669.6441119952127,4.808481100923995,327.2,21.103554203024665,1.0,0.0,0.0,0.0,28.421313640638253,0.6700218021869659,0.6110206246376038,0.3610205888748169,669.6441119952127,327.2
2010000,4,656.0766588420258,24.71122997570597,334.3,19.550191814915777,1.0,0.0,0.0,0.0,28.881698510526622,0.6620396077632904,0.6293676495552063,0.37936761379241946,656.0766588420258,334.3
2015000,4,577.369385060668,84.10403917340011,303.9,28.901384049903218,1.0,0.0,0.0,0.0,28.672505019692473,0.6526931941509246,0.631102192401886,0.3811021685600281,577.369385060668,303.9
2020000,4,518.3265550452285,39.94617904240747,295.3,21.302816715167033,1.0,0.0,0.0,0.0,29.198325273273802,0.648584645986557,0.5551737666130065,0.30517369508743286,518.3265550452285,295.3
2025000,4,666.6006770968437,14.972158802018521,330.8,20.409801566894274,1.0,0.0,0.0,0.0,28.872252199109063,0.6529759526252746,0.6618150472640991,0.4118149995803833,666.6006770968437,330.8
2030000,4,649.4442997597158,29.49099889456588,320.7,20.035218990567586,1.0,0.0,0.0,0.0,28.272549935922143,0.6622005581855774,0.5907391905784607,0.3407391786575317,649.4442997597158,320.7
2035000,4,653.6338718075306,21.37999887434941,337.1,24.14311496058452,1.0,0.0,0.0,0.0,28.95998691143177,0.6659502506256103,0.6705928683280945,0.42059282064437864,653.6338718075306,337.1
2040000,4,659.2828526791185,29.415118129990336,326.8,18.009997223764362,1.0,0.0,0.0,0.0,28.574789036539006,0.6601658821105957,0.7273393273353577,0.4773393154144287,659.2828526791185,326.8
2045000,4,635.9264321306721,31.269602722887573,337.9,20.092038224132462,1.0,0.0,0.0,0.0,29.11338869231913,0.674140328168869,0.5536931395530701,0.3036931037902832,635.9264321306721,337.9
2050000,4,664.5961276099085,14.807872357574023,323.5,19.845654436173174,1.0,0.0,0.0,0.0,28.30708540553678,0.6535176515579224,0.6343644976615905,0.38436447381973265,664.5961276099085,323.5
2055000,4,669.6854495555162,17.31728757074048,331.5,21.223807386988792,1.0,0.0,0.0,0.0,28.678502651135204,0.6579675555229187,0.6442269325256348,0.3942268967628479,669.6854495555162,331.5
2060000,4,630.0881612608209,22.610966678834533,316.1,18.267183690979845,1.0,0.0,0.0,0.0,28.24660335794033,0.6617559015750885,0.5453250646591187,0.29532504081726074,630.0881612608209,316.1
2065000,4,664.4103294461966,27.7739988904598,326.8,22.4,1.0,0.0,0.0,0.0,28.419829353131355,0.6628999292850495,0.6309549570083618,0.38095492124557495,664.4103294461966,326.8
2070000,4,643.2234688796103,31.701214724421384,315.8,19.17185437040455,1.0,0.0,0.0,0.0,27.918325091712177,0.678009033203125,0.5735177159309387,0.3235177159309387,643.2234688796103,315.8
2075000,4,639.4466242058203,25.215618725786875,331.4,18.906083676954356,1.0,0.0,0.0,0.0,28.60805788875441,0.6690413653850555,0.6170304656028748,0.3670304179191589,639.4466242058203,331.4
2080000,4,647.2720809593797,42.78530609154259,332.4,13.35065541462291,1.0,0.0,0.0,0.0,28.96505985366239,0.6731949329376221,0.7282301306724548,0.47823013067245485,647.2720809593797,332.4
2085000,4,619.5524004243664,15.470260765635707,314.4,26.150334605889846,1.0,0.0,0.0,0.0,28.65622106349256,0.6630785405635834,0.5554696202278138,0.30546959638595583,619.5524004243664,314.4
2090000,4,620.5282632082701,13.078350205633678,300.1,18.976037521042162,1.0,0.0,0.0,0.0,28.27691221078021,0.6492150485515594,0.6652115225791931,0.4152114987373352,620.5282632082701,300.1
