timesteps,curriculum_stage,mean_reward,std_reward,mean_episode_length,std_episode_length,success_rate,collision_rate,safety_violation_rate,timeout_rate,mean_path_length,mean_final_goal_dist,mean_min_collision_clearance,mean_min_safety_clearance,success_mean_reward,success_mean_episode_length
300000,4,96.50610141846118,2.3752124826577363,79.25,1.1989578808281798,0.0,1.0,1.0,0.0,21.445895179873332,7.062499940395355,-0.04000154882669449,-0.2900015786290169,nan,nan
325000,4,130.53650853829458,56.02435985095801,96.375,26.167429659788905,0.125,0.875,1.0,0.0,20.309498661663383,5.644640147686005,-0.028037644922733307,-0.2780376449227333,276.57202734053135,163.0
350000,4,145.18241751077585,75.1622099413391,101.5,32.76049450176233,0.25,0.75,1.0,0.0,24.038444239180535,5.163618952035904,-0.01353675127029419,-0.26353681087493896,274.6096226796508,157.0
375000,4,143.4133137082681,75.53589981340939,98.625,33.196150002673505,0.25,0.75,1.0,0.0,22.370765971718356,5.3872513100504875,0.0032891184091567993,-0.2467109113931656,274.0864360779524,156.0
400000,4,100.97207473684102,3.3643356020493,80.0,2.179449471770337,0.0,1.0,1.0,0.0,22.621845113229938,6.94422972202301,-0.04655245691537857,-0.29655250161886215,nan,nan
425000,4,139.52501487731934,70.2362578565057,98.25,31.963846764743444,0.25,0.75,1.0,0.0,21.531685025198385,5.371375307440758,-0.021555714309215546,-0.27155574411153793,260.9203446097672,153.5
450000,4,123.50986463198205,54.57034229696125,91.0,24.413111231467404,0.125,0.875,1.0,0.0,20.678856052458286,5.992137514054775,-0.027862071990966797,-0.2778621017932892,264.523342942819,153.0
475000,4,149.61752588069066,67.67500241516062,102.875,30.10580301204404,0.25,0.75,1.0,0.0,22.66253212816082,4.963959462940693,-0.006145983934402466,-0.25614598393440247,264.77974107675254,153.0
500000,4,121.54940132249612,55.34517780178203,88.625,24.387176445829066,0.125,0.875,1.0,0.0,20.383227403392084,6.1971950605511665,-0.011037424206733704,-0.2610374838113785,267.68903022352606,153.0
525000,4,163.37452494050376,82.52552994924574,106.875,35.78210970582925,0.375,0.625,1.0,0.0,24.55718555219937,4.617455065250397,0.010907858610153198,-0.2390921711921692,269.7395049283902,153.0
